#  | Insider              | Date       | Code | D/ND | Shares    | PriceReq? | PriceSrc | FN? | 10b5-1? | Late? | FSL | Signal
---+----------------------+------------+------+------+-----------+-----------+----------+-----+---------+-------+-----+-------
1  | SPRUNK ERIC D        | 2019-04-30 | G    | ND   | 489       | N         | missing  | Y   | Y       | Y     | A   | 0.40  
2  | SPRUNK ERIC D        | 2019-04-09 | G    | ND   | 8,036     | N         | missing  | Y   | Y       | Y     | A   | 0.40  
3  | SPRUNK ERIC D        | 2019-04-11 | G    | ND   | 408       | N         | missing  | Y   | Y       | Y     | A   | 0.40  
4  | KNIGHT PHILIP H      | 2019-01-18 | G    | ND   | 625,000   | N         | missing  | Y   | Y       | N     | D   | 0.35  
5  | Comstock Elizabeth J | 2019-12-23 | M    | D    | 24,000    | Y         | derived  | Y   | N       | Y     | A   | 0.30  
6  | SPRUNK ERIC D        | 2019-10-03 | G    | ND   | 820       | N         | missing  | Y   | Y       | N     | A   | 0.30  
7  | Comstock Elizabeth J | 2019-07-02 | M    | D    | 24,000    | Y         | derived  | Y   | Y       | N     | A   | 0.30  
8  | SPRUNK ERIC D        | 2019-04-16 | M    | D    | 40,000    | Y         | derived  | Y   | Y       | N     | A   | 0.30  
9  | Knight Travis A      | 2019-10-29 | J    | D    | 9,000,000 | N         | missing  | Y   | N       | N     | D   | 0.25  
10 | Knight Travis A      | 2019-10-29 | J    | D    | 900,000   | N         | missing  | Y   | N       | N     | D   | 0.25  
11 | KNIGHT PHILIP H      | 2019-10-29 | J    | D    | 8,100,000 | N         | missing  | Y   | N       | N     | D   | 0.25  
12 | Swoosh, LLC          | 2019-10-29 | J    | D    | 9,000,000 | N         | missing  | Y   | N       | N     | D   | 0.25  
13 | SPRUNK ERIC D        | 2019-12-24 | M    | D    | 120,000   | Y         | derived  | Y   | N       | N     | A   | 0.20  
14 | Comstock Elizabeth J | 2019-09-19 | A    | ND   | 1,996     | N         | missing  | Y   | N       | N     | A   | 0.20  
