#  | Insider              | Date       | Code | D/ND | Shares     | PriceReq? | PriceSrc | FN? | 10b5-1? | Late? | FSL | Signal
---+----------------------+------------+------+------+------------+-----------+----------+-----+---------+-------+-----+-------
1  | KNIGHT PHILIP H      | 2020-10-23 | C    | ND   | 10,000,000 | Y         | missing  | Y   | N       | N     | C   | 0.40  
2  | KNIGHT PHILIP H      | 2020-10-23 | C    | D    | 10,000,000 | Y         | missing  | Y   | N       | N     | C   | 0.40  
3  | SPRUNK ERIC D        | 2019-12-24 | G    | ND   | 124        | N         | missing  | Y   | Y       | Y     | A   | 0.40  
4  | SPRUNK ERIC D        | 2019-12-26 | G    | ND   | 562        | N         | missing  | Y   | Y       | Y     | A   | 0.40  
5  | KNIGHT PHILIP H      | 2020-09-25 | G    | ND   | 7,250,000  | N         | missing  | Y   | N       | Y     | D   | 0.35  
6  | Comstock Elizabeth J | 2020-12-23 | G    | ND   | 800        | N         | missing  | Y   | Y       | Y     | A   | 0.25  
7  | KNIGHT PHILIP H      | 2020-07-17 | J    | D    | 2,250,000  | N         | missing  | Y   | N       | N     | D   | 0.25  
8  | Knight Travis A      | 2020-07-17 | J    | D    | 2,500,000  | N         | missing  | Y   | N       | N     | D   | 0.25  
9  | Knight Travis A      | 2020-07-17 | J    | D    | 250,000    | N         | missing  | Y   | N       | N     | D   | 0.25  
10 | Swoosh, LLC          | 2020-07-17 | J    | D    | 2,500,000  | N         | missing  | Y   | N       | N     | D   | 0.25  
11 | Slusher John F       | 2020-01-10 | G    | ND   | 2,557      | N         | missing  | Y   | Y       | N     | A   | 0.15  
12 | Abston Chris L       | 2020-12-30 | M    | D    | 20,000     | Y         | derived  | Y   | N       | N     | A   | 0.05  
13 | PARKER MARK G        | 2020-12-30 | M    | D    | 108,366    | Y         | derived  | Y   | N       | N     | A   | 0.05  
14 | PARKER MARK G        | 2020-12-30 | M    | D    | 21,634     | Y         | derived  | Y   | N       | N     | A   | 0.05  
15 | Matheson Monique S.  | 2020-12-28 | M    | D    | 28,500     | Y         | derived  | Y   | N       | N     | A   | 0.05  
16 | Krane Hilary K       | 2020-12-22 | M    | D    | 16,500     | Y         | derived  | Y   | N       | N     | A   | 0.05  
17 | Krane Hilary K       | 2020-12-22 | M    | D    | 25,000     | Y         | derived  | Y   | N       | N     | A   | 0.05  
18 | O'NEILL HEIDI        | 2020-12-08 | M    | D    | 22,500     | Y         | derived  | Y   | N       | N     | A   | 0.05  
19 | Campion Andrew       | 2020-12-08 | M    | D    | 120,000    | Y         | derived  | Y   | N       | N     | A   | 0.05  
20 | COOK TIMOTHY D       | 2020-11-30 | M    | D    | 24,000     | Y         | derived  | Y   | N       | N     | A   | 0.05  
